"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2018","Phillies","2474","6136","186","677","653","69","9.5 %","24.8 %",".158",".289",".234",".314",".393",".307","91","2.9","-64.3","-4.5","12.8"
"1997","Twins","1963","6267","132","772","730","151","7.9 %","17.9 %",".139",".313",".270",".333",".409",".327","91","8.2","-67.9","-22.3","12.7"
"1995","Rangers","1548","5566","138","691","651","90","9.5 %","15.8 %",".144",".296",".265",".338",".410",".331","91","-3.9","-68.6","8.0","12.7"
"2017","White Sox","2289","6059","186","706","670","71","6.6 %","23.1 %",".161",".309",".256",".314",".417",".313","95","-1.9","-41.4","-39.4","12.7"
"2003","Athletics","2197","6189","176","768","742","48","9.0 %","14.5 %",".162",".273",".254",".327",".417",".322","95","5.2","-35.5","-49.1","12.7"
"2004","Blue Jays","2194","6178","145","719","680","58","8.3 %","17.5 %",".143",".298",".260",".328",".403",".320","88","-9.3","-107.0","26.4","12.7"
"2015","Brewers","2377","6024","145","655","624","84","6.8 %","21.6 %",".142",".303",".251",".307",".393",".304","87","1.5","-87.9","21.0","12.7"
"2012","Royals","2249","6149","131","676","643","132","6.6 %","16.8 %",".135",".302",".265",".317",".400",".311","94","-7.4","-50.8","-37.7","12.7"
"2019","Phillies","1499","3974","129","487","465","40","9.3 %","22.7 %",".174",".290",".243",".321",".417",".312","91","2.8","-43.2","44.1","12.6"
"2002","Pirates","2343","6053","142","641","611","86","8.9 %","18.3 %",".137",".281",".244",".319",".380",".308","84","7.9","-114.1","43.3","12.6"
"2016","Brewers","2342","6061","194","671","641","181","9.9 %","25.5 %",".163",".304",".244",".322",".407",".315","92","5.2","-55.2","-10.0","12.6"
"2014","White Sox","2285","6077","155","660","625","85","6.9 %","22.4 %",".146",".306",".253",".310",".398",".312","99","-13.1","-23.5","-52.9","12.6"
"1996","Dodgers","2217","6185","150","703","661","124","8.3 %","19.2 %",".132",".294",".252",".316",".384",".307","91","5.4","-68.2","11.5","12.6"
"1998","Expos","2319","6042","147","644","602","91","7.3 %","17.5 %",".145",".283",".249",".310",".394",".309","83","-1.9","-134.4","71.3","12.5"
"2003","Royals","2217","6239","162","836","781","120","7.6 %","14.8 %",".153",".301",".274",".336",".427",".332","95","7.3","-30.2","-57.8","12.5"
"2016","Twins","2290","6245","200","722","690","91","8.2 %","22.8 %",".171",".300",".251",".316",".421",".317","95","7.8","-28.5","-64.7","12.5"
"2014","Braves","2252","6064","123","573","545","95","7.8 %","22.6 %",".119",".298",".241",".305",".360",".296","86","-4.4","-98.9","29.2","12.5"
"2007","Pirates","2304","6214","148","724","694","68","7.5 %","18.3 %",".149",".303",".263",".325",".411",".322","90","-10.4","-94.0","16.8","12.5"
"2018","Royals","2184","6063","155","638","606","117","7.0 %","21.6 %",".146",".293",".245",".305",".392",".303","88","-7.4","-93.5","14.4","12.5"
"2005","Diamondbacks","2370","6327","191","696","670","67","9.6 %","17.3 %",".165",".285",".256",".332",".421",".328","91","1.3","-71.2","-10.7","12.4"
"2007","Astros","2409","6324","167","723","700","65","8.6 %","16.5 %",".152",".291",".260",".330",".412",".325","92","-17.9","-86.6","5.3","12.4"
"1995","Rockies","2118","5647","200","785","749","125","8.6 %","16.7 %",".189",".311",".282",".350",".471",".357","91","-2.1","-65.8","1.8","12.4"
"1990","Twins","1804","6086","100","666","625","96","7.3 %","12.3 %",".120",".289",".265",".324",".385",".319","94","-4.1","-47.7","-25.0","12.4"
"2019","Mariners","1507","4118","173","530","514","72","9.3 %","25.0 %",".200",".288",".243",".320",".443",".322","106","5.0","34.3","-53.7","12.2"
"2009","Orioles","2281","6233","160","741","708","76","8.3 %","16.3 %",".147",".300",".268",".332",".415",".328","93","-20.1","-74.3","-23.2","12.2"
"2015","Twins","2311","6017","156","696","661","70","7.3 %","21.0 %",".152",".292",".247",".305",".399",".305","89","-5.5","-80.4","-1.1","12.2"
"1998","Dodgers","2096","6077","159","669","630","137","7.4 %","17.4 %",".136",".283",".252",".310",".387",".307","88","4.3","-90.5","24.1","12.2"
"2012","Twins","2271","6209","131","701","666","135","8.1 %","17.2 %",".130",".298",".260",".325",".390",".313","95","0.7","-32.5","-62.5","12.2"
"2016","Reds","2287","6094","164","716","678","139","7.4 %","21.1 %",".152",".303",".256",".316",".408",".311","89","-4.3","-89.9","19.7","12.2"
"2009","Astros","2340","6040","142","643","616","113","7.4 %","16.4 %",".140",".293",".260",".319",".400",".315","89","-18.0","-99.0","32.3","12.2"
"1991","Phillies","2215","6133","111","629","590","92","8.0 %","16.7 %",".117",".275",".241",".303",".358",".297","85","6.4","-100.4","19.0","12.2"
"1999","White Sox","1904","6264","162","777","742","110","8.0 %","12.9 %",".152",".297",".277",".337",".429",".335","94","-0.5","-53.4","-37.7","12.2"
"2001","Mets","2263","6156","147","642","608","66","8.9 %","17.3 %",".137",".283",".249",".323",".387",".309","87","-7.9","-115.3","37.9","12.2"
"2011","Orioles","2262","6156","191","708","684","81","7.3 %","18.2 %",".156",".288",".257",".316",".413",".320","96","-11.3","-39.1","-51.2","12.1"
"2019","Mets","1542","4005","148","483","466","38","8.2 %","22.8 %",".179",".298",".253",".324",".432",".320","102","-11.6","-3.3","-2.4","12.1"
"1991","Mariners","1849","6237","126","702","665","97","9.4 %","13.0 %",".128",".276",".255",".328",".383",".319","95","1.8","-31.5","-53.4","12.1"
"1994","Twins","1201","4409","103","594","556","94","8.1 %","14.4 %",".150",".304",".276",".340",".427",".336","95","5.7","-21.5","-5.4","12.0"
"2018","Rangers","2300","6163","194","737","696","74","9.0 %","24.1 %",".164",".292",".240",".318",".404",".315","90","7.2","-66.1","-20.8","12.0"
"1997","Athletics","2045","6369","197","764","714","71","10.1 %","18.5 %",".163",".295",".260",".339",".423",".336","101","-0.9","8.2","-107.8","12.0"
"2016","Royals","2244","6052","147","675","640","121","6.3 %","20.2 %",".139",".309",".261",".312",".400",".307","89","-4.3","-83.9","-7.9","12.0"
"1997","Padres","2209","6373","152","795","761","140","9.5 %","17.7 %",".136",".312",".271",".342",".407",".331","102","2.6","15.4","-94.2","11.9"
"2014","Padres","2362","5905","109","535","500","91","7.9 %","21.9 %",".115",".277",".226",".292",".342",".283","82","-6.2","-128.7","58.7","11.9"
"2014","Rangers","2264","6026","111","637","597","105","6.9 %","19.3 %",".119",".305",".256",".314",".375",".305","90","-1.8","-66.8","-14.7","11.8"
"2019","Padres","1502","3846","154","449","435","50","8.0 %","26.0 %",".183",".294",".242",".308",".426",".310","92","-7.0","-49.4","46.1","11.8"
"2000","Phillies","1954","6273","144","708","668","102","9.7 %","17.8 %",".148",".290",".251",".329",".400",".320","83","7.3","-137.5","51.5","11.8"
"2000","Brewers","2207","6355","177","740","708","72","9.8 %","19.6 %",".158",".284",".246",".325",".403",".319","82","-5.1","-157.3","67.0","11.7"
"2011","White Sox","2206","6159","154","654","625","81","7.7 %","16.1 %",".136",".280",".252",".319",".388",".312","90","-9.9","-80.0","-15.1","11.6"
"2019","Nationals","1474","3944","137","508","483","70","8.8 %","21.7 %",".178",".301",".256",".331",".435",".324","96","2.6","-16.4","8.4","11.6"
"1994","Athletics","1290","4396","113","549","515","91","9.5 %","15.6 %",".140",".286",".260",".330",".399",".322","92","1.1","-44.3","12.2","11.6"
"2014","Phillies","2282","6198","125","619","584","109","7.1 %","21.1 %",".121",".292",".242",".302",".363",".295","86","10.6","-85.5","3.0","11.5"
"2002","Devil Rays","2007","6198","133","673","640","102","7.4 %","18.0 %",".137",".293",".253",".314",".390",".309","87","6.6","-95.0","-0.9","11.5"
"2011","Rockies","2348","6275","163","735","697","118","8.8 %","19.1 %",".152",".300",".258",".329",".410",".324","88","-1.8","-92.5","11.5","11.5"
"1995","Brewers","1612","5631","128","740","700","105","8.9 %","14.2 %",".143",".292",".266",".336",".409",".331","91","2.2","-60.9","-14.0","11.5"
"1993","Royals","1723","6101","125","675","641","100","7.0 %","15.3 %",".134",".295",".263",".320",".397",".317","89","-10.0","-89.6","10.2","11.4"
"2012","Cubs","2341","5967","137","613","570","94","7.5 %","20.7 %",".138",".286",".240",".302",".378",".297","81","-6.0","-138.9","68.0","11.4"
"1993","Mets","2146","6057","158","672","632","79","7.4 %","14.5 %",".142",".267",".248",".305",".390",".308","85","-3.8","-117.6","17.3","11.4"
"1996","Phillies","2083","6171","132","650","604","117","8.7 %","17.7 %",".131",".295",".256",".325",".387",".314","85","3.5","-110.4","39.3","11.3"
"2001","Royals","1837","6176","152","729","691","100","6.6 %","14.5 %",".143",".291",".266",".318",".409",".314","82","1.5","-135.4","35.8","11.3"
"2015","Athletics","2349","6171","146","694","661","78","7.7 %","18.1 %",".144",".288",".251",".312",".395",".308","95","-1.0","-34.1","-60.6","11.3"
"2004","Mets","2390","6209","185","684","658","107","8.2 %","18.7 %",".160",".282",".249",".317",".409",".314","88","-2.0","-101.6","8.5","11.3"
"2017","Rockies","2374","6201","192","824","793","59","8.4 %","22.7 %",".171",".332",".273",".338",".444",".332","87","-6.4","-111.5","23.3","11.3"
"2001","Tigers","1841","6145","139","724","691","133","7.6 %","15.8 %",".150",".291",".260",".320",".409",".316","94","-0.2","-45.2","-52.0","11.3"
"2019","Cardinals","1515","3900","134","477","450","68","8.7 %","22.4 %",".167",".287",".244",".318",".411",".310","91","7.4","-38.2","27.2","11.2"
"2017","Blue Jays","2455","6154","222","693","661","53","8.8 %","21.6 %",".172",".276",".240",".312",".412",".312","93","-15.8","-73.0","-26.1","11.2"
"1990","Braves","2130","6084","162","682","636","92","7.8 %","16.6 %",".146",".278",".250",".311",".396",".317","89","-5.5","-82.4","-24.0","11.2"
"1994","Brewers","1224","4494","99","547","510","59","9.3 %","15.1 %",".145",".292",".263",".335",".408",".326","91","-4.4","-60.8","20.8","11.2"
