"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1997","Dodgers","2171","6216","174","742","706","131","8.0 %","17.4 %",".150",".304",".268",".330",".418",".328","100","-1.0","-0.5","4.4","19.8"
"1994","Indians","1189","4493","167","679","647","131","8.5 %","14.0 %",".194",".306",".290",".351",".484",".359","111","5.1","71.2","-19.8","19.7"
"2006","Mariners","2259","6213","172","756","703","106","6.5 %","15.7 %",".153",".300",".272",".325",".424",".322","95","4.0","-37.6","26.5","19.7"
"2000","Tigers","1938","6343","177","823","785","83","8.9 %","15.5 %",".163",".303",".275",".343",".438",".341","100","-0.1","-0.3","-15.3","19.7"
"2008","Orioles","2340","6211","172","782","750","81","8.6 %","15.9 %",".162",".296",".267",".333",".429",".333","99","-5.1","-17.0","-1.7","19.7"
"2006","Astros","2393","6326","174","735","708","79","9.2 %","17.0 %",".154",".286",".255",".332",".409",".322","90","5.7","-82.5","74.7","19.7"
"1999","Athletics","1928","6442","235","893","845","70","12.0 %","17.5 %",".187",".285",".259",".355",".446",".351","106","-2.6","52.4","-67.3","19.7"
"2018","Diamondbacks","2409","6157","176","693","658","79","9.1 %","23.7 %",".162",".286",".235",".310",".397",".306","88","7.1","-84.3","81.2","19.7"
"2015","Rays","2479","6071","167","644","612","87","7.2 %","21.6 %",".154",".300",".252",".314",".406",".313","100","-13.4","-16.2","3.1","19.6"
"2012","Athletics","2247","6183","195","713","676","122","8.9 %","22.4 %",".166",".281",".238",".310",".404",".311","97","19.4","0.3","-23.4","19.6"
"2016","Angels","2419","6041","156","717","686","73","7.8 %","16.4 %",".145",".289",".260",".322",".405",".314","99","-16.8","-27.4","10.1","19.6"
"2005","Angels","2234","6186","147","761","726","161","7.2 %","13.7 %",".139",".294",".270",".325",".409",".319","96","3.3","-30.8","17.0","19.6"
"1995","Marlins","1892","5569","144","673","636","131","9.3 %","16.4 %",".144",".293",".262",".335",".406",".328","95","1.7","-30.6","41.3","19.5"
"1992","Brewers","1644","6183","82","740","683","256","8.3 %","12.6 %",".107",".296",".268",".330",".375",".319","98","5.7","-6.2","-5.9","19.5"
"2006","Nationals","2430","6283","164","746","695","123","9.5 %","18.4 %",".156",".301",".262",".338",".418",".327","96","3.3","-27.3","18.8","19.5"
"1991","Dodgers","2229","6159","108","665","605","126","9.5 %","15.5 %",".106",".287",".253",".326",".359",".310","97","-1.9","-23.0","9.4","19.5"
"2011","Royals","2134","6267","129","730","705","153","7.1 %","16.1 %",".140",".311",".275",".329",".415",".325","101","0.7","4.5","-29.5","19.4"
"2013","Rangers","2321","6196","176","730","691","149","7.5 %","17.2 %",".150",".294",".262",".323",".412",".323","97","2.0","-22.5","1.3","19.4"
"2005","Brewers","2226","6156","175","726","689","79","8.6 %","18.9 %",".163",".298",".259",".331",".423",".327","95","-5.2","-44.4","37.3","19.4"
"1996","Brewers","1803","6434","178","894","845","101","9.7 %","15.3 %",".162",".308",".279",".353",".441",".348","97","-3.1","-25.8","-13.2","19.4"
"2013","Royals","2236","6093","112","648","620","153","6.9 %","17.2 %",".119",".300",".260",".315",".379",".305","89","18.2","-57.4","38.7","19.3"
"2013","Diamondbacks","2349","6334","130","685","647","62","8.2 %","18.0 %",".133",".301",".259",".323",".391",".314","93","-18.5","-69.4","58.9","19.3"
"1993","Pirates","2160","6269","110","707","664","92","8.6 %","15.5 %",".126",".304",".267",".335",".393",".324","95","-3.1","-46.0","17.4","19.3"
"2006","White Sox","2286","6318","236","868","839","93","7.9 %","16.7 %",".184",".305",".280",".342",".464",".346","103","-8.4","14.4","-34.1","19.3"
"2013","Padres","2359","6122","146","618","578","118","7.6 %","21.4 %",".133",".294",".245",".308",".378",".302","94","8.8","-35.4","30.1","19.2"
"2015","Indians","2285","6109","141","669","640","86","8.7 %","18.9 %",".144",".299",".256",".325",".401",".315","97","8.1","-15.6","-3.3","19.2"
"1992","Indians","1723","6201","127","674","637","144","7.2 %","14.3 %",".117",".294",".266",".323",".383",".319","98","1.6","-15.1","-0.6","19.2"
"2017","Reds","2321","6213","219","753","715","120","9.1 %","21.4 %",".179",".294",".253",".329",".433",".325","95","-5.3","-43.5","33.6","19.1"
"2005","Blue Jays","2281","6233","136","775","735","72","7.8 %","15.3 %",".142",".296",".265",".331",".407",".323","94","12.3","-33.3","13.6","19.1"
"2002","Marlins","2319","6263","146","699","653","177","9.5 %","18.0 %",".142",".301",".261",".337",".403",".323","97","5.4","-14.7","1.7","19.1"
"1990","Rangers","2033","6177","110","676","641","115","9.3 %","17.1 %",".117",".300",".259",".331",".376",".319","98","1.5","-9.4","-1.8","19.1"
"1990","White Sox","1768","6038","106","682","637","140","7.9 %","15.0 %",".122",".290",".258",".320",".379",".314","94","-9.8","-49.7","45.3","19.1"
"2011","Braves","2322","6169","173","641","606","77","8.2 %","20.4 %",".144",".284",".243",".308",".387",".306","91","-4.8","-70.5","63.8","19.0"
"1999","Royals","1865","6325","151","856","800","127","8.5 %","14.7 %",".151",".312",".282",".348",".433",".342","94","7.9","-40.4","16.7","19.0"
"2011","Phillies","2203","6279","153","713","693","96","8.6 %","16.3 %",".142",".283",".253",".323",".395",".315","96","3.5","-29.5","19.3","19.0"
"1996","Giants","2285","6316","153","752","707","113","9.7 %","18.8 %",".135",".295",".253",".331",".388",".317","92","-2.8","-67.8","71.7","19.0"
"2011","Dodgers","2304","6094","117","644","613","126","8.2 %","17.8 %",".118",".299",".257",".322",".375",".307","95","10.2","-24.6","19.2","18.9"
"2018","Mariners","2373","6087","176","677","644","79","7.1 %","20.1 %",".154",".295",".254",".314",".408",".313","101","-7.0","0.6","-18.1","18.9"
"2002","Blue Jays","2236","6230","187","813","771","71","8.4 %","18.3 %",".169",".295",".261",".327",".430",".329","97","11.5","-15.5","-7.8","18.9"
"2005","Orioles","2323","6134","189","729","700","83","7.3 %","14.7 %",".165",".289",".269",".327",".434",".330","101","-9.5","-0.6","-18.7","18.8"
"2017","Red Sox","2334","6338","168","785","735","106","9.0 %","19.3 %",".149",".300",".258",".329",".407",".316","91","4.9","-65.3","36.3","18.8"
"2016","Pirates","2458","6261","153","729","696","110","9.0 %","21.3 %",".144",".311",".257",".332",".402",".318","97","-6.7","-26.5","15.9","18.8"
"2009","Blue Jays","2202","6362","209","798","766","73","8.6 %","16.2 %",".174",".290",".266",".333",".440",".337","101","12.2","21.5","-58.3","18.8"
"1991","Brewers","1638","6311","116","799","750","106","8.8 %","12.7 %",".125",".296",".271",".336",".396",".328","104","-5.9","25.6","-49.4","18.8"
"2008","Twins","2287","6331","111","829","791","102","8.4 %","15.5 %",".129",".316",".279",".340",".408",".328","99","12.3","4.7","-37.1","18.8"
"2016","Rays","2281","6046","216","672","647","60","7.4 %","24.5 %",".182",".293",".243",".307",".426",".315","98","-0.4","-13.0","-12.3","18.8"
"2014","Royals","2273","6058","95","651","604","153","6.3 %","16.3 %",".113",".302",".263",".314",".376",".306","92","4.8","-47.8","27.4","18.7"
"2009","Rockies","2352","6241","190","804","760","106","10.6 %","20.5 %",".180",".305",".261",".343",".441",".341","96","5.3","-29.7","21.6","18.7"
"1996","Yankees","1735","6414","162","871","830","96","9.9 %","14.2 %",".148",".315",".288",".360",".436",".348","103","-3.2","23.5","-66.6","18.6"
"1997","Royals","1929","6295","158","747","711","130","8.9 %","16.9 %",".143",".299",".264",".333",".407",".327","92","-2.0","-66.0","33.8","18.6"
"2002","Astros","2342","6252","167","749","719","71","9.4 %","17.9 %",".156",".300",".262",".338",".417",".329","94","-6.2","-50.9","33.4","18.6"
"2009","Marlins","2394","6312","159","772","727","75","9.0 %","19.4 %",".148",".316",".268",".340",".416",".332","97","4.5","-16.7","5.6","18.6"
"2003","Blue Jays","2278","6364","190","894","853","37","8.6 %","17.0 %",".175",".313",".279",".349",".455",".347","108","-5.7","56.6","-88.7","18.4"
"2015","Nationals","2245","6117","177","703","665","57","8.8 %","22.0 %",".151",".300",".251",".321",".403",".315","96","-2.3","-29.7","13.8","18.4"
"2004","Rangers","2240","6256","227","860","825","69","8.0 %","17.6 %",".191",".291",".266",".329",".457",".336","95","18.0","-25.9","1.3","18.4"
"1993","Expos","2314","6233","122","732","682","228","8.7 %","13.8 %",".129",".282",".257",".326",".386",".316","90","23.6","-53.2","16.8","18.4"
"2009","Rangers","2158","6127","224","784","748","149","7.7 %","20.5 %",".185",".296",".260",".320",".445",".331","92","9.1","-49.8","17.5","18.4"
"1998","Reds","2270","6269","138","750","723","95","9.7 %","17.7 %",".140",".303",".262",".337",".402",".326","92","0.6","-63.1","52.5","18.3"
"1999","Mariners","1915","6310","244","859","825","130","9.7 %","17.4 %",".186",".293",".269",".343",".455",".346","105","5.8","47.4","-71.7","18.3"
"1994","Cardinals","1514","4450","108","535","506","76","9.8 %","15.4 %",".151",".292",".263",".339",".414",".329","97","-5.0","-25.8","63.6","18.3"
"2011","Giants","2370","6091","121","570","534","85","7.4 %","18.4 %",".126",".281",".242",".303",".368",".295","88","-6.5","-87.9","76.4","18.3"
"2006","Royals","2272","6229","124","757","718","65","7.6 %","16.7 %",".140",".311",".271",".332",".411",".323","92","3.0","-64.6","37.7","18.3"
"2005","Marlins","2296","6214","128","717","678","96","8.2 %","14.8 %",".137",".304",".272",".339",".409",".326","98","-7.1","-23.0","2.5","18.2"
"1995","Dodgers","2032","5544","140","634","593","127","8.4 %","18.5 %",".136",".305",".264",".329",".400",".322","98","4.4","-11.9","11.1","18.2"
"2001","Dodgers","2084","6169","206","758","714","89","8.4 %","17.2 %",".170",".279",".255",".323",".425",".322","97","-0.7","-23.8","9.0","18.2"
"2014","Yankees","2288","6082","147","633","591","112","7.4 %","18.6 %",".135",".282",".245",".307",".380",".305","94","3.2","-38.5","13.4","18.2"
"2008","Marlins","2361","6206","208","770","741","76","8.7 %","22.1 %",".179",".300",".254",".326",".433",".330","96","5.7","-27.5","11.9","18.2"
"2016","Rockies","2369","6236","204","845","805","66","7.9 %","21.3 %",".182",".326",".275",".336",".457",".339","94","1.1","-45.0","28.9","18.2"
"2004","Marlins","2223","6160","148","718","677","96","8.1 %","15.7 %",".143",".295",".264",".329",".406",".321","94","0.5","-51.1","30.1","18.2"
"2005","Astros","2324","6139","161","693","654","115","7.8 %","16.9 %",".152",".288",".256",".322",".408",".318","90","-0.1","-77.8","58.5","18.1"
"2019","Yankees","1443","3977","174","596","568","38","9.6 %","22.9 %",".203",".315",".270",".344",".473",".344","114","-2.1","66.5","-20.7","18.1"
"2005","Mets","2213","6146","175","722","683","153","7.9 %","17.5 %",".158",".290",".258",".322",".416",".320","93","21.0","-32.8","13.2","18.1"
"1999","Brewers","2281","6433","165","815","777","81","10.2 %","16.6 %",".153",".309",".273",".353",".426",".342","97","1.4","-28.8","11.0","18.0"
"2007","Cardinals","2440","6211","141","725","690","56","8.1 %","14.6 %",".132",".303",".274",".337",".405",".326","94","-12.7","-61.3","40.6","18.0"
"2018","Pirates","2293","6066","157","692","665","70","7.8 %","20.3 %",".154",".298",".254",".317",".407",".312","96","-13.3","-45.4","28.9","18.0"
"2005","White Sox","2208","6146","200","741","713","137","7.1 %","16.3 %",".163",".286",".262",".322",".425",".324","95","-1.9","-42.1","13.8","18.0"
"1990","Indians","1684","6087","110","732","675","107","7.5 %","13.7 %",".124",".295",".267",".324",".391",".320","97","-1.5","-19.0","-0.3","17.9"
"1994","Braves","1531","4349","137","542","510","48","8.7 %","15.4 %",".167",".290",".267",".333",".434",".333","97","-3.9","-21.5","59.4","17.9"
"2015","Red Sox","2268","6237","161","748","706","71","7.7 %","18.4 %",".149",".305",".265",".325",".415",".321","99","1.4","-5.9","-29.0","17.9"
"1993","Indians","1781","6267","141","790","747","159","7.8 %","13.5 %",".133",".299",".275",".335",".409",".329","99","10.3","1.3","-21.4","17.9"
"1997","Expos","2215","6131","172","691","659","75","6.9 %","17.7 %",".167",".290",".258",".316",".425",".323","91","-4.4","-78.2","64.2","17.9"
"2008","Angels","2229","6155","159","765","721","129","7.8 %","16.0 %",".145",".299",".268",".330",".413",".324","96","-1.0","-30.9","-4.4","17.8"
"2013","Nationals","2241","6047","161","656","621","88","7.7 %","19.7 %",".146",".292",".251",".313",".398",".311","94","3.1","-34.7","19.0","17.8"
"2001","Angels","1824","6226","158","691","662","116","7.9 %","16.1 %",".144",".290",".261",".327",".405",".318","93","0.3","-57.5","22.4","17.8"
"2014","Cardinals","2324","6086","105","619","585","57","7.7 %","18.6 %",".116",".300",".253",".320",".369",".308","95","-15.5","-49.0","26.4","17.7"
"2001","Padres","2259","6278","161","789","753","129","10.8 %","20.3 %",".147",".297",".252",".336",".399",".321","97","6.4","-16.6","-7.1","17.7"
"2007","Devil Rays","2229","6280","187","782","750","131","8.7 %","21.1 %",".165",".318",".268",".336",".433",".335","103","8.4","29.5","-66.0","17.6"
"2002","Mets","2389","6150","160","690","650","87","7.9 %","17.0 %",".139",".289",".256",".322",".395",".314","91","-6.1","-73.1","49.4","17.6"
"1999","Padres","2305","6136","153","710","671","174","10.3 %","19.1 %",".141",".294",".252",".332",".393",".322","90","4.5","-77.1","61.1","17.6"
"1996","Athletics","1834","6402","243","861","823","58","10.0 %","17.4 %",".187",".290",".265",".344",".452",".347","103","-5.7","20.4","-73.0","17.6"
"2014","Mets","2294","6145","125","629","602","101","8.4 %","20.6 %",".126",".286",".239",".308",".364",".299","92","-0.4","-56.0","30.5","17.6"
"1996","Rockies","2319","6333","221","961","909","201","8.3 %","17.5 %",".185",".321",".287",".355",".472",".358","93","8.9","-45.4","35.7","17.6"
"2003","Devil Rays","2223","6212","137","715","678","142","6.8 %","16.6 %",".139",".301",".265",".320",".404",".314","90","13.2","-65.7","30.0","17.6"
"1995","Braves","1932","5464","168","645","618","73","9.5 %","17.1 %",".160",".276",".250",".326",".409",".324","92","-5.4","-63.3","56.8","17.6"
"2011","Mets","2383","6335","108","718","676","130","9.0 %","17.1 %",".127",".307",".264",".335",".391",".319","102","11.1","25.0","-50.8","17.5"
"1998","Mets","2278","6257","136","706","671","62","9.1 %","16.8 %",".135",".295",".259",".330",".394",".318","93","-7.7","-65.0","47.1","17.5"
"2008","Blue Jays","2244","6191","126","714","681","80","8.4 %","15.2 %",".135",".295",".264",".331",".399",".322","94","-10.9","-60.7","20.9","17.5"
"2009","Diamondbacks","2301","6269","173","720","686","102","9.1 %","20.7 %",".165",".299",".253",".324",".418",".324","89","13.1","-75.3","54.8","17.5"
"1991","Cubs","2291","6130","159","695","654","123","7.2 %","14.3 %",".138",".272",".253",".309",".390",".313","90","-0.9","-68.1","38.5","17.5"
"2019","Diamondbacks","1499","4089","144","533","509","59","8.1 %","21.4 %",".188",".301",".259",".326",".447",".325","97","8.6","-6.2","53.5","17.5"
"1990","Expos","2254","6189","114","662","607","235","9.3 %","16.5 %",".120",".286",".250",".322",".370",".311","90","5.6","-65.7","16.9","17.5"
"2005","Yankees","2319","6406","229","886","847","84","9.9 %","15.4 %",".174",".297",".276",".355",".450",".350","116","-3.4","118.5","-160.9","17.4"
"2017","Braves","2374","6216","165","732","706","77","7.6 %","19.0 %",".150",".305",".263",".326",".412",".316","89","4.3","-82.3","54.9","17.4"
"2015","Angels","2459","5990","176","661","621","52","7.3 %","19.2 %",".150",".280",".246",".307",".396",".305","95","0.5","-37.0","5.3","17.4"
"2015","Orioles","2249","6007","217","713","686","44","7.0 %","22.2 %",".171",".291",".250",".307",".421",".315","97","-4.9","-23.9","-8.4","17.4"
"2014","Red Sox","2283","6226","123","634","601","63","8.6 %","21.5 %",".124",".297",".244",".316",".369",".305","89","-8.1","-83.0","45.6","17.4"
"1997","Rangers","1921","6266","187","807","773","72","8.0 %","17.8 %",".164",".309",".274",".334",".438",".337","95","-1.1","-42.2","-1.2","17.3"
"2004","Mariners","2280","6362","136","698","658","110","7.7 %","16.6 %",".127",".308",".270",".331",".396",".317","93","-6.4","-65.3","26.1","17.3"
"2001","Yankees","1867","6233","203","804","774","161","8.3 %","16.6 %",".168",".293",".267",".334",".435",".332","103","9.3","35.8","-73.8","17.3"
"2017","Brewers","2423","6135","224","732","695","128","8.9 %","25.6 %",".180",".308",".249",".322",".429",".321","93","2.4","-50.6","24.3","17.3"
"2019","Angels","1543","4087","152","539","515","43","9.4 %","18.3 %",".184",".283",".258",".334",".442",".328","108","-3.2","37.1","-4.2","17.2"
"2011","Nationals","2341","6090","154","624","594","106","7.7 %","21.7 %",".140",".292",".242",".309",".383",".305","89","3.7","-73.4","52.0","17.2"
"1999","Cardinals","2275","6354","194","809","763","134","9.6 %","18.9 %",".163",".300",".262",".338",".426",".334","92","5.2","-64.6","38.5","17.2"
"2004","Twins","2318","6286","191","780","735","116","8.2 %","15.6 %",".166",".290",".266",".332",".431",".330","97","5.5","-22.3","-15.6","17.2"
"2015","Tigers","2340","6159","151","689","660","83","7.4 %","20.4 %",".150",".322",".270",".328",".420",".324","103","-27.6","-8.6","-30.7","17.2"
"1997","White Sox","2014","6201","158","779","740","106","9.2 %","14.5 %",".144",".298",".273",".341",".417",".334","100","-0.8","1.2","-43.1","17.2"
"2007","Athletics","2220","6365","171","741","711","52","10.4 %","17.6 %",".151",".290",".256",".338",".407",".328","99","-7.0","-12.1","-32.1","17.2"
"2002","Cubs","2294","6244","200","707","676","63","9.4 %","20.3 %",".167",".283",".246",".321",".413",".320","93","-7.0","-59.0","27.5","17.2"
"2006","Orioles","2295","6240","164","768","727","121","7.6 %","14.1 %",".146",".302",".277",".339",".424",".331","96","-4.5","-36.4","-2.7","17.1"
"2015","Mariners","2407","6131","198","656","624","69","7.8 %","21.8 %",".162",".292",".249",".311",".411",".313","100","-23.1","-20.7","-18.2","17.1"
"2017","Athletics","2350","6126","234","739","708","57","9.2 %","24.3 %",".190",".294",".246",".319",".436",".323","102","-5.5","12.0","-50.7","17.1"
"1993","Red Sox","1832","6196","114","686","644","73","8.2 %","14.1 %",".131",".293",".264",".330",".395",".322","90","0.1","-76.6","50.8","17.1"
"2018","Reds","2402","6240","172","696","665","77","9.0 %","22.1 %",".148",".307",".254",".328",".401",".317","95","-1.9","-40.2","9.3","17.1"
"2000","Royals","1875","6394","150","879","831","121","8.0 %","13.1 %",".138",".312",".288",".348",".425",".338","89","8.9","-82.8","33.1","17.1"
"2009","Giants","2304","6057","122","657","612","78","6.5 %","19.1 %",".132",".302",".257",".309",".389",".305","83","10.0","-118.1","99.6","17.0"
"2013","Blue Jays","2314","6152","185","712","669","112","8.3 %","18.3 %",".158",".284",".252",".318",".411",".320","99","3.8","-2.8","-39.1","17.0"
"2010","Nationals","2410","6100","149","655","634","110","8.2 %","20.0 %",".140",".294",".250",".318",".390",".313","90","-11.3","-84.4","67.3","17.0"
"2006","Angels","2264","6221","159","766","737","148","7.8 %","14.7 %",".150",".301",".274",".334",".425",".327","95","11.3","-27.4","-12.1","17.0"
"1998","Padres","2282","6245","167","749","715","79","9.7 %","17.2 %",".155",".285",".253",".330",".409",".325","99","-0.4","-7.6","-14.5","17.0"
"2008","Tigers","2267","6331","200","821","780","63","9.0 %","17.0 %",".173",".301",".271",".340",".444",".343","106","-6.7","42.3","-93.0","16.9"
"2019","Braves","1538","4052","157","547","529","52","9.3 %","22.5 %",".192",".306",".261",".336",".453",".332","102","2.6","14.3","28.2","16.9"
"2014","Mariners","2333","5977","136","634","600","96","6.6 %","20.6 %",".132",".290",".244",".300",".376",".299","94","3.2","-37.5","3.1","16.8"
"2007","Dodgers","2417","6282","129","735","706","137","8.1 %","13.8 %",".131",".303",".275",".337",".406",".326","94","18.3","-33.3","-1.5","16.8"
"1996","Red Sox","1787","6545","209","928","882","91","9.8 %","15.6 %",".173",".311",".283",".359",".457",".356","104","-3.3","31.5","-97.0","16.8"
"2003","Cubs","2285","6187","172","724","691","73","8.0 %","18.7 %",".157",".297",".259",".323",".416",".321","91","-9.4","-83.7","50.9","16.8"
"1996","Expos","2315","6171","148","741","696","108","8.0 %","17.5 %",".144",".300",".262",".327",".406",".321","92","4.9","-59.2","44.8","16.7"
"2005","Nationals","2352","6142","117","639","615","45","8.0 %","17.7 %",".134",".293",".252",".322",".386",".309","88","-16.4","-112.9","78.8","16.6"
"2014","Marlins","2311","6185","122","645","614","58","8.1 %","22.9 %",".125",".316",".253",".317",".378",".307","95","-5.6","-42.3","6.7","16.6"
"2014","Rockies","2387","6164","186","755","721","85","6.4 %","20.8 %",".169",".326",".276",".327",".445",".337","97","-12.3","-33.1","-1.9","16.6"
"2002","Reds","2353","6254","169","709","678","116","9.3 %","19.0 %",".155",".293",".253",".330",".408",".322","91","1.2","-73.9","36.4","16.6"
"1998","Tigers","1897","6243","165","722","691","122","7.3 %","17.1 %",".152",".297",".264",".323",".415",".324","90","-2.6","-86.8","38.9","16.6"
"2006","Athletics","2197","6281","175","771","735","61","10.3 %","15.5 %",".152",".285",".260",".340",".412",".328","97","-16.5","-38.5","-8.1","16.5"
"1998","Brewers","2277","6232","152","707","673","81","8.5 %","16.7 %",".136",".294",".260",".330",".396",".321","91","-9.5","-83.0","55.2","16.5"
"1991","Expos","2200","6035","95","579","536","221","8.0 %","17.5 %",".112",".287",".246",".308",".357",".300","88","4.5","-79.5","43.9","16.5"
"2003","Rockies","2352","6283","198","853","814","63","9.9 %","18.0 %",".179",".302",".267",".344",".445",".342","90","1.0","-78.4","39.6","16.5"
"2000","Red Sox","2051","6371","167","792","755","43","9.6 %","16.0 %",".156",".297",".267",".341",".423",".334","92","-4.4","-76.1","21.3","16.4"
"2019","Cubs","1483","3946","161","516","497","28","9.7 %","24.0 %",".198",".300",".253",".333",".451",".330","102","-2.9","9.3","31.9","16.4"
"2008","Dodgers","2376","6194","137","700","659","126","8.8 %","16.7 %",".134",".301",".264",".333",".399",".321","93","5.1","-51.1","17.8","16.4"
"2009","Mariners","2150","6113","160","640","613","89","6.9 %","17.9 %",".144",".293",".258",".314",".402",".313","89","-4.5","-87.0","34.6","16.3"
"2019","Brewers","1565","4087","173","513","499","70","9.8 %","24.3 %",".200",".293",".248",".329",".448",".327","99","4.2","0.3","35.1","16.3"
"1990","Angels","1689","6267","147","690","646","69","9.0 %","16.0 %",".131",".291",".260",".329",".391",".324","104","-5.7","19.4","-63.1","16.3"
"2015","Reds","2337","6196","167","640","613","134","8.0 %","20.3 %",".146",".290",".248",".312",".394",".307","91","10.9","-52.1","14.2","16.3"
"2012","Mets","2420","6091","139","650","625","79","8.3 %","20.5 %",".137",".298",".249",".316",".386",".306","94","-3.2","-48.8","20.7","16.3"
"2004","Devil Rays","2182","6098","145","714","685","132","7.7 %","15.5 %",".147",".286",".258",".320",".405",".315","87","16.1","-82.6","41.6","16.3"
"2013","Mets","2378","6207","130","619","593","114","8.2 %","22.3 %",".129",".291",".237",".306",".366",".297","90","23.0","-49.2","14.2","16.3"
"2007","Blue Jays","2308","6197","165","753","719","57","8.6 %","16.8 %",".160",".290",".259",".327",".419",".326","95","-11.3","-47.2","-0.8","16.2"
"2015","Padres","2396","6019","148","650","623","82","7.1 %","22.0 %",".142",".292",".243",".300",".385",".298","90","5.0","-63.2","29.5","16.2"
"1996","Reds","2287","6213","191","778","733","171","9.7 %","18.3 %",".166",".289",".256",".331",".422",".329","97","4.4","-21.7","2.0","16.1"
"2006","Red Sox","2346","6435","192","820","777","51","10.4 %","16.4 %",".166",".298",".269",".351",".435",".340","100","-10.3","-13.3","-43.5","16.1"
"2016","Rangers","2324","6089","215","765","746","99","7.2 %","20.0 %",".172",".298",".262",".322",".433",".324","95","2.0","-37.0","-16.1","16.1"
"1998","Phillies","2166","6300","126","713","672","97","8.1 %","17.1 %",".131",".303",".264",".326",".395",".317","87","-0.3","-105.3","69.6","16.0"
"2016","Diamondbacks","2399","6260","190","752","709","137","7.4 %","22.8 %",".171",".315",".261",".320",".432",".321","93","17.7","-39.9","1.2","15.9"
"2006","Brewers","2206","6130","180","730","695","71","8.2 %","20.1 %",".162",".300",".258",".327",".420",".322","89","-1.5","-87.8","47.7","15.9"
"2016","Yankees","2308","6058","183","680","647","72","7.8 %","19.6 %",".153",".289",".252",".314",".405",".311","92","10.6","-49.7","-3.8","15.9"
"2006","Rangers","2227","6273","183","835","799","53","8.1 %","16.9 %",".168",".311",".278",".338",".446",".337","97","-7.4","-31.5","-21.7","15.9"
"2007","Padres","2334","6326","171","741","704","55","8.8 %","19.4 %",".160",".291",".251",".322",".411",".320","96","3.3","-30.2","-16.6","15.8"
"2015","Marlins","2297","5988","120","613","575","112","6.3 %","19.2 %",".124",".307",".260",".310",".384",".302","91","-1.2","-67.2","30.6","15.8"
"2018","Rockies","2368","6178","210","780","748","95","8.2 %","22.6 %",".179",".304",".256",".322",".435",".325","87","3.2","-94.1","52.3","15.7"
"2000","Cubs","2269","6397","183","764","722","93","9.9 %","17.5 %",".155",".288",".256",".335",".411",".327","89","2.4","-94.9","47.8","15.7"
"2001","Blue Jays","1859","6284","195","767","728","156","7.5 %","17.4 %",".167",".293",".263",".325",".430",".324","94","7.0","-38.9","-18.5","15.7"
"2006","Giants","2313","6136","163","746","711","58","8.1 %","14.5 %",".163",".282",".259",".324",".422",".320","88","-15.8","-116.2","73.5","15.7"
"2000","Diamondbacks","2103","6241","179","792","756","97","8.6 %","15.6 %",".164",".290",".265",".333",".429",".332","88","-0.1","-102.7","59.2","15.6"
"2011","Blue Jays","2265","6210","186","743","704","131","8.5 %","19.1 %",".164",".283",".249",".317",".413",".319","97","12.1","-11.6","-48.0","15.6"
"2010","Marlins","2300","6194","152","719","686","92","8.3 %","22.2 %",".149",".309",".254",".321",".403",".318","92","22.5","-36.2","2.1","15.6"
"2004","Reds","2361","6278","194","750","713","77","9.5 %","21.3 %",".168",".295",".250",".331",".418",".326","92","-9.3","-77.5","25.6","15.6"
"2007","Reds","2383","6332","204","783","747","97","8.5 %","17.6 %",".170",".298",".267",".335",".436",".335","94","-7.2","-58.3","8.4","15.5"
"2000","Rockies","2221","6453","161","968","905","131","9.3 %","14.1 %",".161",".322",".294",".362",".455",".353","82","-1.0","-155.8","100.6","15.5"
"2014","Cubs","2358","6102","157","614","590","65","7.2 %","24.2 %",".146",".296",".239",".300",".385",".303","91","4.0","-59.5","16.1","15.5"
"1992","Giants","2280","6070","105","574","532","112","7.2 %","17.6 %",".111",".283",".244",".302",".355",".297","88","-3.5","-82.6","39.6","15.5"
"1999","Tigers","1902","6096","212","747","704","108","7.5 %","17.2 %",".181",".287",".261",".326",".443",".334","92","-10.1","-73.6","19.8","15.5"
"1991","Astros","2277","6147","79","605","570","125","8.2 %","16.7 %",".102",".285",".244",".309",".347",".297","88","-2.0","-89.1","40.0","15.5"
"2014","Twins","2292","6233","128","715","675","99","8.7 %","21.3 %",".135",".309",".254",".324",".389",".316","100","20.9","23.8","-79.2","15.4"
"2018","Mets","2333","6177","170","676","649","71","9.2 %","22.7 %",".154",".283",".234",".312",".389",".305","95","2.6","-37.3","-7.8","15.4"
"2003","Orioles","2196","6251","152","743","696","89","6.9 %","14.4 %",".138",".293",".267",".323",".405",".317","94","11.0","-38.0","-21.2","15.4"
