playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
caminke01,679.0,752.0,73.0,0.2764442636289666,0.43999186330349876,0.0,0.0,1323.0,0.0,0
campabe01,770.0,390.0,454.0,0.2598074179743224,0.3539586305278174,1.0,1.0,7.0,1283.0,0
camparo01,627.0,856.0,25.0,0.2760998810939358,0.49964328180737216,1183.0,0.0,0.0,0.0,1
campbbr01,710.0,693.0,53.0,0.2903373881110856,0.45880192793206337,0.0,0.0,0.0,0.0,0
cansejo01,780.0,938.0,152.0,0.26998916576381365,0.5159263271939328,0.0,0.0,0.0,0.0,0
cardejo02,699.0,585.0,261.0,0.2716520412056467,0.39793971766501335,0.0,1.0,7.0,0.0,0
cardele01,482.0,483.0,31.0,0.2637837837837838,0.3783783783783784,0.0,0.0,0.0,1298.0,0
carewro01,737.0,563.0,221.0,0.32799208704253213,0.4336300692383778,0.0,1120.0,2.0,4.0,1
careyma01,799.0,401.0,444.0,0.27458937198067634,0.36367149758454104,0.0,0.0,0.0,0.0,1
carrach01,568.0,474.0,31.0,0.258182601205857,0.3415159345391904,0.0,22.0,49.0,1241.0,0
cartega01,678.0,788.0,32.0,0.27128831897415345,0.4600280504908836,1251.0,0.0,1.0,0.0,1
cartejo01,813.0,993.0,188.0,0.26316704328176604,0.47123240048670256,0.0,1.0,1.0,0.0,0
cartyri01,538.0,640.0,16.0,0.3071621954221019,0.4715727295102141,17.0,0.0,1.0,0.0,0
casege01,760.0,364.0,342.0,0.28415187783739165,0.36070986380520015,0.0,0.0,0.0,0.0,0
caseyse01,675.0,717.0,17.0,0.30162651842701255,0.4502779493514515,0.0,0.0,0.0,0.0,0
cashda01,699.0,399.0,112.0,0.28728414442700156,0.3642072213500785,0.0,1190.0,41.0,3.0,0
cashno01,714.0,772.0,38.0,0.27387387387387385,0.4990990990990991,0.0,0.0,0.0,0.0,0
castilu01,803.0,340.0,305.0,0.29775280898876405,0.3620689655172414,0.0,1306.0,0.0,0.0,0
cavarph01,644.0,590.0,47.0,0.2916182957975389,0.4139772463431623,0.0,0.0,0.0,0.0,0
cedence01,777.0,671.0,427.0,0.28861376090927543,0.4570732697381774,0.0,0.0,0.0,0.0,0
cepedor01,878.0,1004.0,120.0,0.3036985587775656,0.5136308386872721,0.0,0.0,4.0,0.0,1
ceyro01,712.0,839.0,20.0,0.2642457021440989,0.44562487927371064,0.0,0.0,1457.0,0.0,0
chambch01,676.0,678.0,26.0,0.2819767441860465,0.41424418604651164,0.0,0.0,0.0,0.0,0
chapmbe01,1009.0,880.0,269.0,0.3075389633925335,0.45161290322580644,0.0,56.0,92.0,1.0,0
chapmsa01,751.0,772.0,41.0,0.2668414683340056,0.4386849536103267,0.0,0.0,0.0,0.0,0
cirilje01,714.0,658.0,60.0,0.29964127453049166,0.4365899978898502,0.0,29.0,1287.0,2.0,0
clarkho01,548.0,304.0,151.0,0.25555786411801373,0.31311032619987533,0.0,1102.0,21.0,64.0,0
clarkja01,685.0,693.0,55.0,0.27671488567428837,0.4799346710219319,0.0,0.0,2.0,0.0,0
clarkwi02,845.0,881.0,57.0,0.30183881064162754,0.49726134585289516,0.0,0.0,0.0,0.0,0
clemero01,741.0,657.0,49.0,0.3068971997744785,0.4440894568690096,0.0,2.0,1.0,0.0,1
clenddo01,574.0,671.0,89.0,0.2760777306231852,0.4467277194549922,0.0,0.0,1.0,0.0,0
cliftha01,1017.0,773.0,67.0,0.27716061005460363,0.4518922990020712,0.0,6.0,1427.0,1.0,0
cobbty01,1001.0,899.0,582.0,0.37206112852664575,0.5182210031347962,0.0,1.0,0.0,0.0,1
cochrmi01,897.0,756.0,58.0,0.32134980149977943,0.4827966475518306,1272.0,0.0,0.0,0.0,1
colavro01,849.0,1013.0,14.0,0.27306547619047616,0.5093005952380952,0.0,0.0,0.0,0.0,0
colbena01,468.0,510.0,48.0,0.24630690382876091,0.45764244799517634,0.0,0.0,1.0,0.0,0
colemvi01,773.0,313.0,698.0,0.26375437873480323,0.34246857613847104,0.0,0.0,0.0,0.0,0
collied01,996.0,668.0,505.0,0.32910906298003073,0.4274193548387097,0.0,1403.0,0.0,29.0,1
combsea01,1129.0,595.0,95.0,0.3266210973582117,0.4673933123960835,0.0,0.0,0.0,0.0,1
conceda01,572.0,529.0,220.0,0.2696724797958316,0.3702679710761378,0.0,14.0,22.0,1303.0,0
coninje01,593.0,746.0,35.0,0.288560411311054,0.455012853470437,0.0,0.0,65.0,0.0,0
coopece01,775.0,832.0,67.0,0.3095099748208406,0.4937052101491381,0.0,0.0,0.0,0.0,0
cowenal01,580.0,564.0,110.0,0.2712243074173369,0.39745308310991956,0.0,0.0,7.0,0.0,0
cramedo01,923.0,527.0,39.0,0.30641748942172076,0.3926304654442877,0.0,0.0,0.0,0.0,0
crandde01,496.0,554.0,21.0,0.25709939148073024,0.42266734279918866,1135.0,0.0,0.0,0.0,0
cravaga01,568.0,710.0,86.0,0.2888318356867779,0.48189987163029524,0.0,0.0,0.0,0.0,0
critzhu01,736.0,477.0,92.0,0.2747081712062257,0.3622568093385214,0.0,1257.0,0.0,2.0,0
cromawa01,449.0,389.0,48.0,0.28310263776442934,0.4071559153826064,0.0,0.0,0.0,0.0,0
cronijo01,785.0,921.0,65.0,0.3022186687987208,0.4559264441335199,0.0,1.0,21.0,1282.0,1
crosefr01,835.0,525.0,98.0,0.24695863746958638,0.36638280616382807,0.0,2.0,69.0,1207.0,0
cruzjo01,565.0,570.0,216.0,0.28246067151913595,0.41911246771542615,0.0,0.0,0.0,0.0,0
cruzjo02,670.0,602.0,107.0,0.24915139171758316,0.45259108395564607,0.0,0.0,0.0,0.0,0
